uf,municipio,qtde,latitude,longitude
BA,JACOBINA,61,-11.1812,-40.5117
BA,JAGUAQUARA,68,-13.5248,-39.964
BA,JAGUARARI,14,-10.2569,-40.1999
BA,JAGUARIPE,15,-13.1109,-38.8939
BA,JANDAIRA,2,-11.5616,-37.7853
BA,JEQUIE,386,-13.8509,-40.0877
BA,JEREMOABO,14,-10.0685,-38.3471
BA,JIQUIRICA,6,-13.2621,-39.5737
BA,JITAUNA,22,-14.0131,-39.8969
BA,JOAO DOURADO,20,-11.3486,-41.6548
BA,JUAZEIRO,179,-9.41622,-40.5033
BA,JUCURUCU,7,-16.8488,-40.1641
BA,JUSSARA,5,-11.0431,-41.9702
BA,JUSSARI,5,-15.192,-39.491
BA,JUSSIAPE,4,-13.5155,-41.5882
BA,LAFAIETE COUTINHO,7,-13.6541,-40.2119
BA,LAGOA REAL,3,-14.0334,-42.1328
BA,LAJE,16,-13.1673,-39.4213
BA,LAJEDAO,7,-17.6056,-40.3383
BA,LAJEDINHO,3,-12.3529,-40.9048
BA,LAJEDO DO TABOCAL,7,-13.4663,-40.2204
BA,LAMARAO,7,-11.773,-38.887
BA,LAPAO,15,-11.3851,-41.8286
BA,LAURO DE FREITAS,253,-12.8978,-38.321
BA,LENCOIS,9,-12.5616,-41.3928
BA,LICINIO DE ALMEIDA,4,-14.6842,-42.5095
BA,LIVRAMENTO DE NOSSA SENHORA,24,-13.6369,-41.8432
BA,LUIS EDUARDO MAGALHAES,80,-12.0956,-45.7866
BA,MACAJUBA,8,-12.1326,-40.3571
BA,MACARANI,22,-15.5646,-40.4209
BA,MACAUBAS,13,-13.0186,-42.6945
BA,MACURURE,2,-9.16226,-39.0518
BA,MADRE DE DEUS,16,-12.7446,-38.6153
BA,MAETINGA,5,-14.6623,-41.4915
BA,MAIQUINIQUE,11,-15.624,-40.2587
BA,MAIRI,9,-11.7107,-40.1437
BA,MALHADA,8,-14.3371,-43.7686
BA,MALHADA DE PEDRAS,5,-14.3847,-41.8842
BA,MANOEL VITORINO,14,-14.1476,-40.2399
BA,MANSIDAO,1,-10.7227,-44.0428
BA,MARACAS,21,-13.4355,-40.4323
BA,MARAGOGIPE,32,-12.776,-38.9175
BA,MARAU,8,-14.1035,-39.0137
BA,MARCIONILIO SOUZA,6,-13.0064,-40.5295
BA,MASCOTE,15,-15.5542,-39.3016
BA,MATA DE SAO JOAO,42,-12.5307,-38.3009
BA,MATINA,4,-13.9109,-42.8439
BA,MEDEIROS NETO,29,-17.3707,-40.2238
BA,MIGUEL CALMON,16,-11.4299,-40.6031
BA,MILAGRES,9,-12.8646,-39.8611
BA,MIRANGABA,3,-10.961,-40.574
BA,MIRANTE,3,-14.2385,-40.7718
BA,MONTE SANTO,13,-10.4374,-39.3321
BA,MORPARA,6,-11.5569,-43.2766
BA,MORRO DO CHAPEU,12,-11.5488,-41.1565
BA,MORTUGABA,7,-15.0225,-42.3727
BA,MUCUGE,9,-13.0053,-41.3703
